id,platform,video_id,author_id,text,published_at,like_count,reply_count,lang
yt_001,youtube,vxDfeO_aFgw,@davidbobowski7243,Love the video's...awesome stuff! When are ya gonna do a KTM 1290R Superduke? I'll donate mine as a test mule!!,2025-09-04,0,0,en
yt_002,youtube,vxDfeO_aFgw,@hyper_channel,"Sweet gains. Good job.You have to get your hands on one of the new Aprilia RS660, very curious about those.",2025-09-04,0,0,en
